arun@arun-h110:~/git/Text_frequency_research$ ./a.out RC_2013-04.zst 250000 4096 test.ix
Csz: 250000, pgsz: 4096
2745023 2500000383959910=72094368+188705051+139251002 94507770 1902743892 26.5707
2755880 2510000385703183=72418174+189565646+139881674 94893194 1910806421 27.3336
2766772 2520000387463931=72744988+190431472+140522086 95281544 1918915622 28.2719
2777605 2530000389210244=73071112+191290844+141155276 95663121 1926926977 28.6153
2788466 2540000390993925=73405001+192169511+141801295 96054535 1935126695 29.5808
2799329 2550000392854436=73747080+193084041+142481179 96463295 1943733787 30.6367
2810193 2560000394586175=74069906+193939383+143107047 96849254 1951753714 27.9156
2821115 2570000396373854=74400331+194815983+143761024 97241328 1959965205 29.628
2832025 2580000398201283=74740010+195716692+144423960 97643344 1968366062 31.0375
2842894 2590000399960875=75065982+196579442+145067439 98028803 1976421606 30.353
2853742 2600000401811634=75407233+197492344+145739777 98435145 1984952513 32.4201
2864632 2610000403667966=75750169+198409680+146411818 98837554 1993405751 32.2043
2875503 2620000405501187=76090975+199311909+147078283 99237395 2001760282 31.387
2886360 2630000407318394=76428580+200209416+147736246 99634061 2010065431 32.0903
2897239 2640000409133084=76766405+201102314+148395438 100028982 2018321075 32.6746
2908079 2650000410998892=77114178+202021249+149071777 100436420 2026866993 34.104
2919336 2660000412865095=77458535+202937691+149753790 100835218 2035245605 34.0191
2930193 2670000414758028=77807462+203871479+150441590 101245864 2043888985 33.6526
2941058 2680000416562298=78141604+204760082+151097021 101639613 2052172987 32.8641
2951948 2690000418394567=78482060+205663987+151760410 102035567 2060491460 34.047
2962792 2700000420187245=78815085+206550897+152407374 102426328 2068674953 34.2476
2973731 2710000421964447=79147445+207422084+153055205 102805367 2076645165 33.9702
2984605 2720000423762171=79480129+208299528+153716891 103190636 2084725993 34.6696
2995574 2730000425541780=79809047+209170707+154369183 103575039 2092775415 35.4637
3006468 2740000427360559=80145053+210063381+155033678 103970288 2101095315 39.261
3017345 2750000429112466=80471448+210929421+155665389 104351774 2109075632 23.6688
3028291 2760000430853628=80794053+211779723+156304391 104731162 2117033942 24.017
3039192 2770000432538461=81107787+212604140+156920898 105092530 2124617934 23.6853
3050078 2780000434247277=81429031+213437682+157545343 105456854 2132253085 24.1957
3060975 2790000436026715=81761305+214309126+158194410 105834640 2140186839 23.6171
3071909 2800000437724222=82079132+215137533+158816103 106194275 2147695639 23.4759
3082762 2810000439502098=82407520+216004295+159471644 106575835 2155709883 25.2563
3093667 2820000441252475=82734828+216859883+160111731 106950923 2163545482 25.3116
3104606 2830000443006883=83060939+217716620+160755196 107323463 2171372679 25.5497
3115556 2840000444688481=83372733+218538469+161372236 107679797 2178888329 25.2595
3126447 2850000446373566=83687025+219365885+161985484 108038853 2186428436 23.3674
3137354 2860000448084410=84007360+220203015+162608631 108401375 2194004072 24.4076
3148306 2870000449709146=84311145+221001359+163198792 108746495 2201233823 23.7383
3159170 2880000451351882=84617909+221801999+163801990 109094084 2208545693 24.4582
3170031 2890000453013492=84929203+222613413+164410040 109441305 2215879829 25.1836
3180938 2900000454661681=85237778+223419314+165012236 109784589 2223088470 25.1617
3191816 2910000456350591=85550949+224239011+165637741 110141095 2230597689 24.8633
3202736 2920000458067183=85872730+225081734+166261324 110503191 2238222451 25.2157
3213588 2930000459765403=86191157+225911227+166882779 110860970 2245739581 25.5786
3224450 2940000461458958=86506014+226744049+167499073 111224462 2253370196 25.9789
3235384 2950000463116228=86815090+227563975+168096159 111578375 2260784552 25.9538
3246267 2960000464858603=87140346+228419120+168730537 111949015 2268565598 27.3989
3257218 2970000466613074=87466190+229282067+169368910 112319060 2276330330 26.9835
3268155 2980000468268376=87775619+230093744+169972379 112671200 2283717625 25.3758
3278993 2990000469969715=88091511+230926039+170595817 113029211 2291250232 26.7005
3289873 3000000471569970=88391941+231705539+171183343 113360249 2298208628 25.7498
3300770 3010000473233246=88702602+232525382+171785545 113714771 2305649829 27.3278
3311716 3020000474884704=89011906+233343669+172378776 114068927 2313075758 27.4359
3322684 3030000476508174=89314099+234142224+172968486 114415919 2320357771 27.131
3333558 3040000478143366=89618548+234943979+173565228 114760913 2327627881 25.7864
3344467 3050000479740737=89918385+235729820+174143829 115098490 2334733073 26.1624
3355390 3060000481413586=90230624+236550329+174753692 115451123 2342149375 28.2557
3366284 3070000482988960=90526560+237328756+175320755 115783035 2349095922 26.9371
3377177 3080000484606407=90828041+238120588+175912435 116122274 2356204200 27.8344
3388055 3090000486152468=91119668+238885764+176466949 116455756 2363158970 27.2914
3398880 3100000487684763=91409430+239647791+177012102 116782823 2369985061 26.5461
3409787 3110000489223743=91698454+240408490+177565964 117109640 2376837588 26.3773
3420708 3120000490782966=91991874+241181846+178124362 117439767 2383771960 27.6742
3431637 3130000492372061=92290972+241966929+178696725 117777666 2390870374 28.637
3442607 3140000493867479=92576410+242705734+179231864 118092338 2397462064 27.0626
3453456 3150000495418218=92870797+243475997+179783874 118419484 2404334380 28.492
3464366 3160000496965936=93164715+244245389+180334199 118748597 2411204727 28.8273
3475266 3170000498503481=93454655+245005791+180885711 119076928 2418070873 27.7496
3486141 3180000499986498=93737190+245741376+181413852 119388182 2424590382 27.5624
3497008 3190000501529487=94026056+246498293+181975369 119710625 2431363820 28.8624
3507853 3200000503046559=94315835+247250150+182516197 120026377 2437982100 29.051
3518683 3210000504564868=94603075+248002586+183059009 120343970 2444636416 29.4403
3529542 3220000506086306=94893153+248756525+183601588 120665297 2451356376 29.7446
3540480 3230000507573435=95176490+249498789+184127119 120980544 2457959041 29.6614
3551409 3240000509136904=95471887+250274207+184686052 121310996 2464885140 37.2615
3562370 3250000510633889=95756816+251017114+185219210 121625735 2471476043 55.992
3573321 3260000512154031=96046348+251771059+185761190 121945341 2478175831 23.6987
3584317 3270000513711000=96340918+252547891+186312667 122274154 2485093301 23.3732
3595165 3280000515228612=96629800+253298990+186854771 122593653 2491757046 21.4247
3606131 3290000516787712=96926491+254070286+187412396 122919047 2498582401 21.8279
3617031 3300000518283261=97210191+254817319+187941237 123234099 2505180447 21.7649
3627996 3310000519803633=97499274+255577531+188477038 123557024 2511939474 20.357
3638920 3320000521375389=97793280+256352278+189045476 123886610 2518896453 21.9042
3649881 3330000522880556=98076303+257096336+189586609 124199824 2525502535 21.5097
3660867 3340000524491379=98379942+257895171+190162867 124536503 2532587753 25.5992
3671820 3350000526041380=98675689+258665765+190712311 124863717 2539433390 22.5574
3682790 3360000527659222=98979781+259462353+191297318 125199637 2546526403 23.7512
3693808 3370000529325956=99293194+260282583+191900382 125547106 2553862747 24.0262
3704793 3380000530943069=99597886+261085257+192478358 125889927 2561060602 22.7148
3715703 3390000532641482=99915490+261923870+193091543 126242558 2568504319 24.5289
3726649 3400000534346388=100233856+262770855+193701866 126599698 2576060927 25.2753
3737635 3410000536134448=100568655+263669932+194329472 126975668 2584004045 26.651
3748614 3420000537914058=100902015+264547436+194973273 127345645 2591807075 27.0595
3759597 3430000539732180=101243537+265443050+195631087 127730821 2599901181 27.2528
3770552 3440000541540317=101581938+266331153+196288296 128112806 2607915959 26.7486
3781517 3450000543336930=101916523+267210385+196945560 128490365 2615835396 27.2552
3792483 3460000545110407=102247719+268083312+197588580 128869140 2623726086 27.6291
3803443 3470000546863450=102576365+268956547+198213619 129243810 2631579888 27.5973
3814317 3480000548616328=102905067+269822518+198845460 129616669 2639372197 27.6943
3825200 3490000550364699=103231208+270687065+199476077 129988416 2647196995 27.4291
3836062 3500000552038919=103542921+271516200+200079385 130346638 2654714777 26.3368
3847051 3510000553738833=103859970+272354792+200694844 130703928 2662204441 27.2913
3857981 3520000555533138=104195870+273249795+201333950 131087574 2670283162 29.6428
3868919 3530000557372661=104540051+274170956+201984926 131478723 2678502214 30.789
3879700 3540000559174880=104876499+275068767+202628476 131859007 2686549641 30.4939
3890544 3550000561055077=105229291+276013658+203289337 132254538 2694904888 30.9419
3901420 3560000562858794=105565010+276912898+203933306 132636547 2702963369 29.5577
3912350 3570000564721760=105912497+277839367+204600662 133027673 2711236486 31.3424
3923255 3580000566536233=106252225+278740214+205250933 133405899 2719255880 31.0794
3934146 3590000568414549=106603188+279666112+205930557 133799590 2727546804 32.2598
3945058 3600000570254570=106948208+280576629+206591269 134180463 2735629044 31.9
3955958 3610000572141867=107297481+281509367+207275346 134575878 2744034201 32.5194
3966817 3620000573970117=107641840+282420517+207926474 134953316 2752029705 32.2071
3977696 3630000575805448=107982976+283330153+208587374 135338435 2760185443 33.236
3988551 3640000577705627=108334575+284265405+209279576 135730872 2768523748 34.5675
3999436 3650000579562654=108677005+285180148+209955784 136125652 2776870966 34.5039
4010266 3660000581403607=109018526+286095150+210616435 136509692 2785019679 33.9679
4021082 3670000583240993=109359018+287005077+211279585 136893247 2793144608 33.319
4031936 3680000585155368=109713677+287951495+211971670 137289761 2801581143 35.6097
4042723 3690000587038338=110063444+288882903+212652051 137683001 2809949918 35.6428
4053582 3700000588932135=110417322+289824565+213331268 138077038 2818308398 36.2739
4064959 3710000590833836=110769103+290768846+214014935 138465476 2826553480 36.4335
4075764 3720000592687604=111114214+291684210+214686258 138849252 2834694418 41.289
4086632 3730000594516201=111454579+292586097+215349182 139228856 2842726959 47.2639
4097561 3740000596344284=111792862+293482665+216017659 139612182 2850807652 26.358
4108439 3750000598193673=112136711+294395739+216687720 140001474 2859027358 26.6038
4119319 3760000600031342=112478174+295302182+217354611 140382271 2867100414 26.2501
4130276 3770000601775420=112803457+296161714+217986977 140744723 2874772416 25.6082
4141183 3780000603575343=113140168+297048522+218638665 141116881 2882655128 24.7125
4152093 3790000605357888=113473027+297929805+219281395 141485262 2890463976 25.206
4162989 3800000607225564=113819520+298845200+219964243 141870234 2898615750 26.5546
4173910 3810000609011404=114151393+299726941+220611152 142242878 2906522426 25.714
